,record_type_code,responsibility_beginning_date,right_to_transact_business_code,secretary_of_state_sos_or_coa_file_number,sos_charter_date,sos_status_code,sos_status_date,taxpayer_address,taxpayer_city,taxpayer_county_code,taxpayer_name,taxpayer_number,taxpayer_organizational_type,taxpayer_state,taxpayer_zip,current_exempt_reason_code,exempt_begin_date,_621111
250,U,2023-03-01T00:00:00.000,A,0804949002,2023-03-01T00:00:00.000,A,2023-03-01T00:00:00.000,1636 RICHMOND AVE,HOUSTON,101,1968 DRYDEN LLC,32088651974,CL,TX,77006,,,
251,U ,2002-08-19T00:00:00.000,A ,0800113189 ,2002-08-19T00:00:00.000,A ,2002-08-19T00:00:00.000,231 RAINBOW DR # 13198 ,LIVINGSTON ,187,"BACH & PARTNERS, LLC ",10105680424 ,CL ,TX ,77399 ,  ,,541611 
252,U,1996-01-02T00:00:00.000,A,0138380500,1996-01-02T00:00:00.000,A,1996-01-02T00:00:00.000,PO BOX 1089,MT PLEASANT,225,"ACCENT LAWN CARE & LANDSCAPING, INC.",32064409389,CT,TX,75456,,,561730
253,U,2022-01-03T00:00:00.000,A,0804371572,2022-01-03T00:00:00.000,A,2022-01-03T00:00:00.000,2212 WHITNEY ST,HOUSTON,101,STARLING ENERGY LLC,32082527857,CL,TX,77006,,,
254,U,2022-01-11T00:00:00.000,A,0804399191,2022-01-11T00:00:00.000,A,2022-01-11T00:00:00.000,13415 SAINT MARYS LN,HOUSTON,101,"WESTSIDE COUNSELING AND WELLNESS, PLLC",32082730923,CL,TX,77079,,,
255,U,2022-01-21T00:00:00.000,A,0804398151,2022-01-21T00:00:00.000,A,2022-01-21T00:00:00.000,2912 W DAVIS ST STE 130C,CONROE,170,MOXIE WIG STUDIO LLC,32082811814,CL,TX,77304,,,
256,U,2020-09-28T00:00:00.000,A,0803776976,2020-09-28T00:00:00.000,A,2020-09-28T00:00:00.000,6207 COLLEYVILLE BLVD STE 100,COLLEYVILLE,220,PRESTIGE PROPERTY INVESTORS 2 LLC,32076098246,CL,TX,76034,,,
257,U ,2002-01-10T00:00:00.000,A ,0800044918 ,2002-01-10T00:00:00.000,A ,2002-01-10T00:00:00.000,9324 NEILS THOMPSON DR STE 113 ,AUSTIN ,227,"HAGNEW, INC. ",10105685043 ,CT ,TX ,78758 ,  ,,425120 
258,U ,2001-12-14T00:00:00.000,A ,0800035960 ,2001-12-14T00:00:00.000,A ,2001-12-14T00:00:00.000,2106 BRIARVIEW DR ,HOUSTON ,101,"DESA NETWORK SERVICES, LLC ",10105687718 ,CL ,TX ,77077 ,  ,,541511 
259,U,2020-01-07T00:00:00.000,A,0803510893,2020-01-07T00:00:00.000,A,2020-01-07T00:00:00.000,7420 NATIVE OAK LN,IRVING,57,"AAMS INVESTING, LLC",32073007885,CL,TX,75063,,,
260,V ,2002-01-25T00:00:00.000,A ,0800049501 ,2002-01-25T00:00:00.000,A ,2002-01-25T00:00:00.000,5757 WOODWAY DR STE 400 ,HOUSTON ,101,FIRST INVESTORS AUTO FUNDING CORPORATION ,10105696404 ,CF ,TX ,77057 ,  ,,522000 
261,U,2021-06-07T00:00:00.000,A,0804098332,2021-06-07T00:00:00.000,A,2021-06-07T00:00:00.000,911 TOURMALINE CV,OAK POINT,61,TEX LAKE POINT LLC,32079579945,CL,TX,75068,,,
262,U,2018-10-24T00:00:00.000,A,0803149810,2018-10-24T00:00:00.000,A,2018-10-24T00:00:00.000,133 SAGE RD,HOUSTON,101,CULTURECONNECTION LLC,32068745564,CL,TX,77056,,,
263,U,2018-08-08T00:00:00.000,A,0803087165,2018-08-08T00:00:00.000,A,2018-08-08T00:00:00.000,517 MALLARD LN,TRINITY,228,ADVENTURE EXPERIENCES LLC,32068022212,CL,TX,75862,,,
264,U,2023-01-18T00:00:00.000,A,0804886245,2023-01-18T00:00:00.000,A,2023-01-18T00:00:00.000,3504 W JONQUIL AVE,MCALLEN,108,NUEVO LEON AUTOCAMBIO LLC,32088007490,CL,TX,78501,,,523140
265,U,2020-01-22T00:00:00.000,A,0803524914,2020-01-22T00:00:00.000,A,2020-01-22T00:00:00.000,16620 SAN PEDRO AVE STE 300,SAN ANTONIO,15,"RAPA STONE OAK HOLDINGS, LLC",32073179825,CL,TX,78232,,,
266,U,2018-10-16T00:00:00.000,A,0803143576,2018-10-16T00:00:00.000,A,2018-10-16T00:00:00.000,4311 OAK LAWN AVE STE 540,DALLAS,57,"LRIC GEORGETOWN, L.P.",32068678674,PL,TX,75219,,,531190
267,U,2008-01-01T00:00:00.000,A,0009344610,1996-11-26T00:00:00.000,R,2012-03-08T00:00:00.000,PO BOX 826,HOUSTON,101,"BODZY INVESTMENT PARTNERSHIP, LTD.",32036350281,PL,TX,77001,103,2009-01-01T00:00:00.000,523920
268,U ,2001-11-21T00:00:00.000,A ,0800029822 ,2001-11-21T00:00:00.000,A ,2001-11-21T00:00:00.000,PO BOX 1835 ,KELLER ,220,"MID-SOUTH ORTHOPEDIC SUPPLIES, INC. ",10105706823 ,CT ,TX ,76244 ,  ,,423450 
269,X,2022-11-01T00:00:00.000,A,,,,,136 4TH ST N STE 201,ST PETERSBURG,0,DECATUR ELECTRONICS LLC,32087005644,CI,FL,33701,,,
270,U ,2001-12-05T00:00:00.000,A ,0800033469 ,2001-12-05T00:00:00.000,A ,2001-12-05T00:00:00.000,PO BOX 673 ,LAREDO ,240,"MCALLEN TRIPLE NET MANAGEMENT, L.L.C. ",10105712326 ,CL ,TX ,78042 ,  ,,  
271,U,2009-01-27T00:00:00.000,A,0801079616,2009-01-27T00:00:00.000,A,2009-01-27T00:00:00.000,1048 THOMASTON RIVER RD,CUERO,62,"MID-COAST RANCH SERVICES, LLC",32038775758,CL,TX,77954,,,
272,U,2023-03-03T00:00:00.000,A,0804953998,2023-03-03T00:00:00.000,A,2023-03-03T00:00:00.000,5919 RED RIVER DR,MANVEL,20,EXCEPTIONAL LEADERS LLC,32088698744,CL,TX,77578,,,
273,U ,2008-01-01T00:00:00.000,A ,0800048572 ,2002-01-23T00:00:00.000,A ,2002-01-23T00:00:00.000,3939 BEE CAVE RD STE C100 C/O PERSONAL A ,WEST LAKE HLS ,227,"MMZ RANCH HOLDINGS, LTD. ",10105721384 ,PL ,TX ,78746 ," 
",,  
274,V ,2002-03-06T00:00:00.000,A ,0800062455 ,2002-03-06T00:00:00.000,A ,2002-03-06T00:00:00.000,PO BOX 1582 ,PRAIRIEVILLE ,0,"PCE CONSTRUCTORS, INC. ",10105721913 ,CF ,LA ,70769 ,  ,,236210 
275,U ,2002-01-14T00:00:00.000,A ,0800045947 ,2002-01-14T00:00:00.000,A ,2002-01-14T00:00:00.000,6508 COLLEYVILLE BLVD STE 300 ,COLLEYVILLE ,220,"METRO GUNITE MGT., L.L.C. ",10105724727 ,CL ,TX ,76034 ,  ,,541000 
276,U,2020-09-30T00:00:00.000,A,0803777592,2020-09-30T00:00:00.000,A,2020-09-30T00:00:00.000,1016 OLD MILL CIR,IRVING,57,INTEGRITY REMODELING  L L C,32076093825,CL,TX,75061,,,
277,U,2022-01-17T00:00:00.000,A,0804391067,2022-01-17T00:00:00.000,A,2022-01-17T00:00:00.000,23863 MYDAS FLY LN,NEW CANEY,170,JS RACK INSTALLERS LLC,32082743314,CL,TX,77357,,,
278,U,1985-12-18T00:00:00.000,A,0077862700,1985-12-18T00:00:00.000,R,2005-02-24T00:00:00.000,10 MEADOW COVE DR,SPRING,170,"WARWICK RITZ, INC.",17601797669,CT,TX,77381,,,
279,U,2020-08-19T00:00:00.000,A,0803728734,2020-08-19T00:00:00.000,A,2020-08-19T00:00:00.000,35 MARQUISE OAKS PL,THE WOODLANDS,170,JACOBSON REAL ESTATE INVESTMENTS LLC,32075526692,CL,TX,77382,,,
280,U ,2001-12-19T00:00:00.000,A ,0800037107 ,2001-12-19T00:00:00.000,A ,2001-12-19T00:00:00.000,303 S MAIN ST ,WINONA ,212,"KGA CORPORATION, INC. ",10105728066 ,CT ,TX ,75792 ,  ,,447110 
281,U,2014-10-31T00:00:00.000,A,0802093205,2014-10-31T00:00:00.000,A,2014-10-31T00:00:00.000,1901 FRANKLIN AVE,BONHAM,74,"LARSEN REAL ESTATE, LLC",32055573094,CL,TX,75418,,,531311
282,U ,2002-01-07T00:00:00.000,A ,0800043850 ,2002-01-07T00:00:00.000,A ,2002-01-07T00:00:00.000,3837 ARUNDEL AVE ,FORT WORTH ,220,"MONARCH VELO, LLC ",10105729130 ,CL ,TX ,76109 ,  ,,  
283,U,2022-01-24T00:00:00.000,A,0804400108,2022-01-24T00:00:00.000,A,2022-01-24T00:00:00.000,1821 N LAKE FOREST DR STE 700,MCKINNEY,43,IMPERIAL CANINE INC.,32082839260,CT,TX,75071,,,
284,U ,2001-12-27T00:00:00.000,A ,0800040843 ,2001-12-27T00:00:00.000,A ,2001-12-27T00:00:00.000,PO BOX 270567 ,HOUSTON ,101,URSA CORPORATION ,10105729924 ,CT ,TX ,77277 ,  ,,236220 
285,U ,2002-01-07T00:00:00.000,A ,0800043753 ,2002-01-07T00:00:00.000,R ,2010-02-11T00:00:00.000,124 WILDWOOD DR ,WACO ,161,"POTTER'S VESSEL MINISTRIES, INC. ",10105731581 ,CN ,TX ,76705 ,19 ,2002-01-07T00:00:00.000,813110 
286,V,2020-10-28T00:00:00.000,A,0803811527,2020-10-28T00:00:00.000,A,2020-10-28T00:00:00.000,1601 S MOPAC EXPY STE D-175,AUSTIN,227,"ATX RIVERSIDE DWELL MANAGEMENT, LLC",32076476632,CI,TX,78746,,,
287,U ,2001-12-13T00:00:00.000,A ,0800035910 ,2001-12-13T00:00:00.000,A ,2001-12-13T00:00:00.000,1628 W BUSINESS HIGHWAY 83 ,MISSION ,108,"MNTEX MANAGEMENT, L.L.C. ",10105734064 ,CL ,TX ,78572 ,  ,,"
453000 "
288,U ,2017-01-17T00:00:00.000,A ,0802627246 ,2017-01-17T00:00:00.000,A ,2017-01-17T00:00:00.000,903 GREENBRIAR AVE ,KEENE ,126,ARCO TRANSPORTATION LLC ,10105734486 ,CL ,TX ,76059 ,  ,,  
289,U,2007-08-08T00:00:00.000,A,0800854593,2007-08-08T00:00:00.000,R,2015-07-24T00:00:00.000,5566 MAIN ST STE 212,FRISCO,43,"FWCM, INC.",32033494868,CT,TX,75033,,,
290,U,2008-01-01T00:00:00.000,A,0012253810,1999-07-15T00:00:00.000,A,1999-07-15T00:00:00.000,PO BOX 12628,DALLAS,57,"BROOKS-NATH, L.P.",32036210576,PL,TX,75225,,,
291,V,2021-12-20T00:00:00.000,A,0804356610,2021-12-20T00:00:00.000,A,2021-12-20T00:00:00.000,1845 EL CAMINO REAL,PALO ALTO,0,"REALTYBITS, INC.",32082367924,CF,CA,94306,,,518210
292,U,2020-11-11T00:00:00.000,A,0803827117,2020-11-11T00:00:00.000,A,2020-11-11T00:00:00.000,9900 SPECTRUM DR,AUSTIN,246,BROOKE WEINSTEIN CONSULTING LLC,32076646366,CL,TX,78717,,,
293,U,2022-07-18T00:00:00.000,A,0804632751,2022-07-18T00:00:00.000,A,2022-07-18T00:00:00.000,7709 SAN JACINTO PL STE 206,PLANO,43,FIRST META CAPITAL GROUP LLC,32085309717,CL,TX,75024,,,
294,U,2022-10-21T00:00:00.000,A,0804777732,2022-10-21T00:00:00.000,A,2022-10-21T00:00:00.000,4014 PROVINCE DR,CARROLLTON,61,POTTERY IS A JOY L.L.C.,32086844597,CL,TX,75007,,,327110
295,U,2018-11-07T00:00:00.000,A,0803160304,2018-11-07T00:00:00.000,A,2018-11-07T00:00:00.000,1409 OVERLOOK RIDGE DR,BELTON,14,"706 HOLDINGS, LLC",32068873374,CL,TX,76513,,,
296,V,2016-11-18T00:00:00.000,A,0802860020,2017-11-14T00:00:00.000,A,2017-11-14T00:00:00.000,13320 COLETO CREEK TRL,AUSTIN,227,"FOUNTAIN SQUARE INDUSTRIES, LLC",32063762366,CL,TX,78732,,,
297,U,2021-01-29T00:00:00.000,A,0803918370,2021-01-29T00:00:00.000,A,2021-01-29T00:00:00.000,3409 CREEKBEND DR,GARLAND,57,"CROSSCHECK HOME INSPECTIONS, LLC",32077627811,CL,TX,75044,,,
298,U ,2001-12-28T00:00:00.000,A ,0800040467 ,2001-12-28T00:00:00.000,R ,2007-02-02T00:00:00.000,27060 DECKER PRAIRIE ROSEHL RD ,MAGNOLIA ,170,"NOMAR ENTERPRISES, LLC ",10105744063 ,CL ,TX ,77355 ,  ,,"
425120 "
299,U,2019-08-19T00:00:00.000,A,0803396877,2019-08-19T00:00:00.000,A,2019-08-19T00:00:00.000,9734 LANSING MEADOWS DR,HUMBLE,101,TRU FILMS LLC,32071680675,CL,TX,77396,,,
300,U ,2002-01-08T00:00:00.000,A ,0800043704 ,2002-01-08T00:00:00.000,A ,2002-01-08T00:00:00.000,4527 BEACON HILL DR ,SEABROOK ,101,"GUNNELLS CONCRETE DESIGNS, INC. ",10105745755 ,CT ,TX ,77586 ,  ,,"
238990 "
301,U,2014-04-03T00:00:00.000,A,0801964661,2014-04-03T00:00:00.000,A,2014-04-03T00:00:00.000,1445 W MONTE CRISTO RD STE C,EDINBURG,108,"ZOO DENTAL OF TEXAS, PLLC",32053681964,CL,TX,78541,,,
302,U ,2002-01-03T00:00:00.000,A ,0800042514 ,2002-01-03T00:00:00.000,A ,2002-01-03T00:00:00.000,901 HARVARD ST ,HOUSTON ,101,"R. H. CAPITAL ENTERPRISES, INC. ",10105754658 ,CT ,TX ,77008 ,  ,,  
303,U,2021-06-08T00:00:00.000,A,0804099630,2021-06-08T00:00:00.000,A,2021-06-08T00:00:00.000,275 CHEYENNE DR,STEPHENVILLE,72,BAYOU CROSSING LAND COMPANY LLC,32079608405,CL,TX,76401,,,
304,U,2019-09-25T00:00:00.000,A,0803429842,2019-09-25T00:00:00.000,A,2019-09-25T00:00:00.000,1441 DANIELLE DR,BEDFORD,220,"S.Y.N TRADING, INC.",32072059853,CT,TX,76021,,,
305,U ,2001-12-14T00:00:00.000,A ,0800036679 ,2001-12-14T00:00:00.000,A ,2001-12-14T00:00:00.000,5734 ENCORE DR ,DALLAS ,57,"GLN FINANCIAL SERVICES, INC. ",10105756505 ,CT ,TX ,75240 ,  ,,522000 
306,U,2011-07-18T00:00:00.000,A,0801453767,2011-07-18T00:00:00.000,A,2011-07-18T00:00:00.000,2929 CARLISLE ST STE 365,DALLAS,57,RANGER DYNAMICS LLC,32044668963,CL,TX,75204,,,
307,U ,2001-12-19T00:00:00.000,A ,0800038056 ,2001-12-19T00:00:00.000,A ,2001-12-19T00:00:00.000,1500 KINNEY AVE ,AUSTIN ,227,"LAINIE FRASIER'S VOICEWORKS, INC. ",10105759830 ,CT ,TX ,78704 ,  ,,"512110
"
308,U,2022-02-25T00:00:00.000,A,0804450438,2022-02-25T00:00:00.000,A,2022-02-25T00:00:00.000,3 GREENWAY PLZ STE 1320,HOUSTON,101,A-TEAM COMPANY LLC,32083406283,CL,TX,77046,,,
309,U ,2001-11-28T00:00:00.000,A ,0800030974 ,2001-11-28T00:00:00.000,A ,2001-11-28T00:00:00.000,2158 ODAY RD ,PEARLAND ,20,"10 STREET, INC. ",10105760267 ,CT ,TX ,77581 ,  ,,  
310,U ,2002-02-22T00:00:00.000,A ,0800066196 ,2002-02-22T00:00:00.000,A ,2002-02-22T00:00:00.000,"6500 RIVER PLACE BLVD BLDG 7, STE 250 ",AUSTIN ,227,"KG, INC. ",10105763162 ,CT ,TX ,78730 ,  ,,541611 
311,U,2018-08-02T00:00:00.000,A,0803082445,2018-08-02T00:00:00.000,A,2018-08-02T00:00:00.000,1805 BUFFALO SPEEDWAY,LEANDER,246,CLICK & CO. LLC,32067971427,CL,TX,78641,,,
312,U,2014-05-06T00:00:00.000,A,0801984982,2014-05-06T00:00:00.000,A,2014-05-06T00:00:00.000,3411 RICHMOND AVE STE 500,HOUSTON,101,"RAVEN CONSTRUCTION 2, INC.",32053991611,CT,TX,77046,,,
313,U,2022-03-03T00:00:00.000,A,0804458573,2022-03-03T00:00:00.000,A,2022-03-03T00:00:00.000,1015 MISSION DR,SOUTHLAKE,220,DINK.PRO LLC,32083490709,CL,TX,76092,,,
314,X ,2010-01-01T00:00:00.000,A ,  ,,  ,,5000 TOWNSHIP PKWY ,SAINT PAUL ,0,"SHAPE MEDICAL SYSTEMS, INC ",10105765241 ,CF ,MN ,55110 ,  ,,  
315,V,2021-06-03T00:00:00.000,N,0804102521,2021-06-03T00:00:00.000,F,2023-03-10T00:00:00.000,112 MAVERICK CT,GRANBURY,111,"HP4, LLC",32079569888,CI,TX,76049,,,
316,U ,2001-11-05T00:00:00.000,A ,0800025420 ,2001-11-05T00:00:00.000,A ,2001-11-05T00:00:00.000,PO BOX 552 ,WINNSBORO ,250,RYKA INC. ,10105768385 ,CT ,TX ,75494 ,  ,,451120 
317,U,1983-08-29T00:00:00.000,A,0066950100,1983-08-29T00:00:00.000,A,1983-08-29T00:00:00.000,11402 SAGECOUNTRY DR,HOUSTON,101,"COASTAL PIPE SERVICE CO., INC.",17600806107,CT,TX,77089,,,237120
318,U,2021-10-04T00:00:00.000,A,0804258348,2021-10-04T00:00:00.000,A,2021-10-04T00:00:00.000,6465 ALDRIDGE DR,FRISCO,43,"PROCALIBER, LLC.",32081310974,CL,TX,75035,,,
319,U ,2002-06-10T00:00:00.000,A ,0800094247 ,2002-06-10T00:00:00.000,A ,2002-06-10T00:00:00.000,23440 CINCO RANCH BLVD ,KATY ,79,CINCO RANCH HIGH SCHOOL ROBOTICS BOOSTER CLUB ,10105770126 ,CN ,TX ,77494 ,19 ,2002-06-10T00:00:00.000,541000 
320,V,2019-02-05T00:00:00.000,A,0803229071,2019-02-05T00:00:00.000,A,2019-02-05T00:00:00.000,1601 ELM ST STE 4360,DALLAS,57,"SPCH FORT WORTH I, LLC",32069667643,CI,TX,75201,,,
321,U ,2001-12-27T00:00:00.000,A ,0800040707 ,2001-12-27T00:00:00.000,A ,2001-12-27T00:00:00.000,PO BOX 191 ,PITTSBURG ,32,ROCKIN'B WALKERS CORPORATION ,10105771579 ,CT ,TX ,75686 ,  ,,  
322,U ,2002-01-25T00:00:00.000,A ,0800049245 ,2002-01-25T00:00:00.000,A ,2002-01-25T00:00:00.000,10440 N CENTRAL EXPY STE 800 ,DALLAS ,57,"BENBELLA BOOKS, INC. ",10105772270 ,CT ,TX ,75231 ,  ,,"511130
"
323,U ,2002-01-15T00:00:00.000,A ,0800046424 ,2002-01-15T00:00:00.000,A ,2002-01-15T00:00:00.000,4345 VINE RIDGE CT ,ARLINGTON ,220,"BEE LINE MECHANICAL, INC. ",10105776628 ,CT ,TX ,76017 ,  ,,811000 
324,U ,2002-02-04T00:00:00.000,A ,0800052195 ,2002-02-04T00:00:00.000,A ,2002-02-04T00:00:00.000,PO BOX 1388 ,LUFKIN ,3,"TONY L. MCGOWEN, P.C. ",10105780430 ,CP ,TX ,75902 ,  ,,541211 
325,U,2023-03-02T00:00:00.000,A,0804951500,2023-03-02T00:00:00.000,A,2023-03-02T00:00:00.000,3211 W DIVISION ST TRLR 66,ARLINGTON,220,AK PAINTING & RENOVATION LLC,32088680114,CL,TX,76012,,,
326,U ,2002-01-09T00:00:00.000,A ,0800044559 ,2002-01-09T00:00:00.000,A ,2002-01-09T00:00:00.000,411 CRIPPLE CREEK DR ,EULESS ,220,"FOUND, INC. ",10105780877 ,CT ,TX ,76039 ,  ,,453310 
327,U ,2001-12-11T00:00:00.000,A ,0800035177 ,2001-12-11T00:00:00.000,A ,2001-12-11T00:00:00.000,6724 WESTOVER DR ,GRANBURY ,111,"GLOBAL BOTTOMLINE, LLC ",10105781669 ,CL ,TX ,76049 ,  ,,  
328,V ,2002-01-25T00:00:00.000,N ,0800049649 ,2002-01-25T00:00:00.000,F ,2008-07-25T00:00:00.000,1102 A1A N STE 206 ,PONTE VEDRA ,0,FINLAY DEVELOPMENT LLC ,10105783749 ,CI ,FL ,32082 ,  ,,  
329,V ,2004-06-30T00:00:00.000,A ,0800540094 ,2005-09-01T00:00:00.000,A ,2005-09-01T00:00:00.000,7402 HOLLISTER AVE ,GOLETA ,0,"INTOUCH TECHNOLOGIES, INC. ",10105785777 ,CF ,CA ,93117 ,  ,,334510 
330,U,2022-02-28T00:00:00.000,A,0804451641,2022-02-28T00:00:00.000,A,2022-02-28T00:00:00.000,3823 MOUNT PLEASANT ST,HOUSTON,101,OUT 2GET MONEY LLC,32083426653,CL,TX,77021,,,
331,V,2020-03-12T00:00:00.000,A,0803573454,2020-03-12T00:00:00.000,A,2020-03-12T00:00:00.000,300 CRESCENT CT STE 850,DALLAS,57,"VELOCIS FUND III REIT, LP",32073726922,PF,TX,75201,,,
332,U,2012-01-23T00:00:00.000,A,0801538837,2012-01-23T00:00:00.000,A,2012-01-23T00:00:00.000,7250 DALLAS PKWY STE 800,PLANO,43,"MITRA QSR KNE, LLC",32046678747,CL,TX,75024,,,
333,U ,2002-01-07T00:00:00.000,A ,0800044042 ,2002-01-07T00:00:00.000,A ,2002-01-07T00:00:00.000,PO BOX 29 ,WESLACO ,108,"LOS CAMINOS MANAGEMENT, L.L.C. ",10105803703 ,CL ,TX ,78599 ,  ,,561110 
334,U,1984-03-06T00:00:00.000,A,0069454700,1984-03-06T00:00:00.000,A,1984-03-06T00:00:00.000,2300 PORTOFINO RIDGE DR,AUSTIN,227,DANESHJOU DARAN INC.,17422777106,CT,TX,78735,,,
335,U ,2008-01-01T00:00:00.000,A ,0800050001 ,2002-01-28T00:00:00.000,A ,2002-01-28T00:00:00.000,PO BOX 369 ,ELSA ,108,"SOUTHERN STAR TRANSPORT, LTD. ",10105803844 ,PL ,TX ,78543 ,  ,,  
336,U,2004-09-20T00:00:00.000,A,0800391545,2004-09-20T00:00:00.000,A,2004-09-20T00:00:00.000,2101 CENTRAL BLVD,BROWNSVILLE,31,"D. CORSON, LLC",32015842670,CL,TX,78520,,,
337,U,2023-03-04T00:00:00.000,A,0804953562,2023-03-04T00:00:00.000,A,2023-03-04T00:00:00.000,9337 KATY FWY STE B,HOUSTON,101,"NAMAK TWO, LLC",32088702165,CL,TX,77024,,,
338,X ,2012-10-01T00:00:00.000,A ,  ,,  ,,1111 SECAUCUS RD ,SECAUCUS ,0,ALICE + OLIVIA LLC ,10105808694 ,CI ,NJ ,07094 ,  ,,  
339,U,2020-08-27T00:00:00.000,A,0803737901,2020-08-27T00:00:00.000,A,2020-08-27T00:00:00.000,1717 SAINT JAMES PL STE 120,HOUSTON,101,HOUSTON PROFESSIONAL LAND TRAINING LLC,32075646797,CL,TX,77056,,,
340,U ,2001-03-26T00:00:00.000,A ,0708629322 ,2001-03-26T00:00:00.000,A ,2001-03-26T00:00:00.000,PO BOX 41830 ,HOUSTON ,101,"PM/CTS, LLC ",10105810955 ,CL ,TX ,77241 ,  ,,523000 
341,U ,2002-01-10T00:00:00.000,A ,0800045259 ,2002-01-10T00:00:00.000,A ,2002-01-10T00:00:00.000,4524 VERONE ST ,BELLAIRE ,101,"CHAKRAVARTI MANAGEMENT, L.L.C. ",10105814619 ,CL ,TX ,77401 ,  ,,  
342,U,2020-09-28T00:00:00.000,A,0803776858,2020-09-28T00:00:00.000,A,2020-09-28T00:00:00.000,26327 CEDAR PINE DR,KATY,79,TECHPARIDHI LLC,32076099087,CL,TX,77494,,,
343,U,2019-02-03T00:00:00.000,A,0803227313,2019-02-03T00:00:00.000,A,2019-02-03T00:00:00.000,6060 N CENTRAL EXPY STE 650,DALLAS,57,PARKER & ASSOCIATES PLLC,32069652561,CL,TX,75206,,,
344,U ,2001-08-23T00:00:00.000,A ,0800004345 ,2001-08-23T00:00:00.000,R ,2011-09-28T00:00:00.000,7317 E HOUSTON RD ,HOUSTON ,101,ASSOCIATION OF INDEPENDENT MINISTRIES ,10105818255 ,CN ,TX ,77028 ,  ,,"
  "
345,X ,2005-09-26T00:00:00.000,A ,  ,,  ,,100 BICKFORD ST STE 1 ,ROCHESTER ,0,GREAT LAKES EVENTS LLC ,10105819915 ,CF ,NY ,14606 ,  ,,561920 
346,X,2008-01-01T00:00:00.000,A,,,,,4909 TROJAN DR,EL PASO,71,H E CHARLES PTA,30113795162,AR,TX,79924,07,2008-01-01T00:00:00.000,
347,U,2023-02-25T00:00:00.000,A,0804943937,2023-02-25T00:00:00.000,A,2023-02-25T00:00:00.000,10016 CANDLEBROOK DR,DALLAS,57,"JCBC VENTURES, LLC",32088620318,CL,TX,75243,,,
348,U,2021-10-05T00:00:00.000,A,0804259772,2021-10-05T00:00:00.000,A,2021-10-05T00:00:00.000,20501 KATY FWY STE 217,KATY,101,"KELLY COUNSELS, INC.",32081333554,CT,TX,77450,,,
349,U ,2001-12-27T00:00:00.000,A ,0800040919 ,2001-12-27T00:00:00.000,R ,2017-04-03T00:00:00.000,15914 RATHLIN CT ,SPRING ,101,"GOIN-LO, CO. ",10105822604 ,CT ,TX ,77379 ,  ,,  
350,U,2020-04-01T00:00:00.000,A,0803577225,2020-04-01T00:00:00.000,A,2020-04-01T00:00:00.000,2605 WESTRIDGE DR,ARLINGTON,220,W A YOUNG LLC,32073779384,CL,TX,76012,,,
351,U,2022-03-02T00:00:00.000,A,0804457557,2022-03-02T00:00:00.000,A,2022-03-02T00:00:00.000,444 QUAIL CREEK DR,FRISCO,61,KEEP IT SIMPLE PRESSURE WASHING L.L.C.,32083456916,CL,TX,75036,,,
352,U ,2003-09-04T00:00:00.000,A ,0800244353 ,2003-09-04T00:00:00.000,A ,2003-09-04T00:00:00.000,5522 GINERIDGE DR ,HOUSTON ,79,STEEL VIBRATIONS INCORPORATED ,10105835945 ,CT ,TX ,77053 ,  ,,"711000
"
353,U ,2008-01-01T00:00:00.000,A ,0800151668 ,2002-12-12T00:00:00.000,R ,2013-03-25T00:00:00.000,PO BOX 619 ,ADDISON ,57,"T. CAPPELLI PROPERTIES, LP ",10105836695 ,PL ,TX ,75001 ,  ,,  
354,U,2022-11-02T00:00:00.000,A,0804793846,2022-11-02T00:00:00.000,A,2022-11-02T00:00:00.000,1316 LEISURE LN,DESOTO,57,"WOODLYNN PROPERTIES (MICHAEL AND GEVEL JACKSON), L",32087029966,CL,TX,75115,,,
355,U ,2001-04-04T00:00:00.000,A ,0162139901 ,2001-04-04T00:00:00.000,A ,2001-04-04T00:00:00.000,2026 CANELO DR ,DALLAS ,57,GRANT ONE CHILD A WISH FOUNDATION ,10105840911 ,CN ,TX ,75232 ,19 ,2001-04-04T00:00:00.000,  
356,U,2020-09-30T00:00:00.000,A,0803780630,2020-09-30T00:00:00.000,A,2020-09-30T00:00:00.000,4636 BIRCHMAN AVE,FORT WORTH,220,KD MINERAL HOLDINGS LLC,32076112690,CL,TX,76107,,,
357,U ,2002-01-28T00:00:00.000,A ,0800049843 ,2002-01-28T00:00:00.000,R ,2009-06-16T00:00:00.000,336 MELROSE DR APT 20B ,RICHARDSON ,57,OUR KRISTIN FOUNDATION ,10105844830 ,CN ,TX ,75080 ,19 ,2002-01-28T00:00:00.000,  
358,U,2016-11-21T00:00:00.000,A,0802588950,2016-11-21T00:00:00.000,A,2016-11-21T00:00:00.000,5550 GRANITE PKWY STE 300,PLANO,43,"5550 GRANITE PARK OFFICE CENTER, LP",32062129724,PL,TX,75024,,,
359,U,2021-06-25T00:00:00.000,A,0804126065,2021-06-25T00:00:00.000,A,2021-06-25T00:00:00.000,PO BOX 4205,LAKE JACKSON,20,"CHAMD PRESTON HOLLOW, PLLC",32079858919,CL,TX,77566,,,
360,U,2016-01-13T00:00:00.000,A,0802368356,2016-01-13T00:00:00.000,A,2016-01-13T00:00:00.000,5401 COUNTY ROAD 239,JARRELL,246,EUROWEST STONE SERVICES INC,32059310907,CT,TX,76537,,,
